name
Planeta
Montena
Alfaguara
Fanbooks
Plataforma
Puck
Nova Casa Editorial
Oz Editorial
"La Galera, S.A. Editorial"
Columna Edicions S.A.
Circulo Rojo
Destino
Caligrama Editorial
Debolsillo (Punto De Lectura)
Atlantis
Seix Barral
Anagrama
Ecc
Panini
Planeta De Agostini
Hidra
